index,diff
1,0.44652265310287476
2,0.49994176626205444
3,0.493127703666687
4,0.44796741008758545
5,0.5078364014625549
6,0.6049356758594513
7,0.5779784321784973
8,0.32695579528808594
9,0.34658896923065186
10,0.6419102847576141
11,0.46481752395629883
12,0.6627728044986725
13,0.4244546890258789
14,0.40579015016555786
15,0.8062582314014435
16,0.5210847854614258
17,0.8321319818496704
18,0.37023401260375977
